Test_case_Name,Mission_Time,YAMS_Unrel_Mean_value,YAMS_Unrel_Bounds,FigSeq_Estimated_Unreliability_no_truncation,FigSeq_Pessimistic_Unreliability_with_truncation,GSPN_Unrel,FigaroAPI_Unrel_Value,FigaroAPI_Unrel_Value,YAMS_Unavail_Bounds,FigSeq_Estimated_Unavail_no_truncation,FigSeq_Pessimistic_Unavail_with_truncation,GSPN_Unavail,FigaroAPI_Unavailability_Value,definitive_states,definitive_transitions
05_No_trim_repair,10000,1.99E-03,3.63E-05,2.01E-03,2.12E-03,2.00E-03,2.00E-03,1.40E-06,9.64E-07,1.00E-06,1.05E-06,1.00E-06,1.00E-06,512,"4,500"
05_Trim_Max_repair,10000,1.99E-03,3.63E-05,2.01E-03,2.02E-03,,2.00E-03,1.10E-06,8.54E-07,1.00E-06,1.01E-06,,1.00E-06,69,273
05_Trim_Article_repair,10000,2.00E-03,3.64E-05,2.01E-03,2.02E-03,,2.00E-03,7.00E-07,6.82E-07,1.00E-06,1.01E-06,,1.00E-06,69,273
08_PC_No_trim_No_repair,100,4.98E-02,1.77E-04,4.98E-02,4.98E-02,,4.98E-02,,,,,,,880,"3,588"
08_PC_Trim_Max_No_repair,100,4.97E-02,1.77E-04,4.98E-02,4.98E-02,,4.98E-02,,,,,,,32,60
08_PC_Trim_Article_No_repair,100,4.98E-02,1.77E-04,4.98E-02,4.98E-02,,4.98E-02,,,,,,,58,104
08_PC_No_trim_repair,10000,9.94E-01,6.33E-05,9.94E-01,9.94E-01,9.94E-01,9.94E-01,5.07E-03,5.79E-05,5.09E-03,5.09E-03,5.09E-03,5.09E-03,"1,920","18,816"
08_PC_Trim_Max_repair,10000,9.94E-01,6.33E-05,9.94E-01,9.94E-01,,9.94E-01,5.04E-03,5.77E-05,5.08E-03,5.08E-03,,5.08E-03,68,211
08_PC_Trim_Article_repair,10000,9.94E-01,6.33E-05,9.94E-01,9.94E-01,,9.94E-01,5.06E-03,5.78E-05,5.08E-03,5.08E-03,,5.08E-03,105,389
10_Project_risks_No_trim_No_repair,100,1.99E-02,1.14E-04,1.99E-02,1.99E-02,,1.99E-02,,,,,,,20,38
10_Project_risks_Trim_Max_No_repair,100,1.98E-02,1.14E-04,1.99E-02,1.99E-02,,Recheck,,,,,,,,
10_Project_risks_Trim_Article_No_repair,100,1.98E-02,1.13E-04,1.99E-02,1.99E-02,,Recheck,,,,,,,,
10_Project_risks_No_trim_repair,10000,8.65E-01,2.78E-04,8.65E-01,8.65E-01,8.65E-01,8.65E-01,1.97E-03,3.61E-05,2.00E-03,2.00E-03,2.00E-03,2.00E-03,6.80E+01,3.52E+02
10_Project_risks_Trim_Max_repair,10000,8.65E-01,2.79E-04,8.65E-01,8.65E-01,,Recheck,2.00E-03,3.64E-05,2.00E-03,2.00E-03,,,,
10_Project_risks_Trim_Article_repair,10000,8.65E-01,2.79E-04,8.65E-01,8.65E-01,,Recheck,1.99E-03,3.63E-05,2.00E-03,2.00E-03,,,,
13_Share1_No_trim_No_repair,100,1.05E-04,8.34E-06,1.00E-04,1.00E-04,,1.00E-04,,,,,,,1.70E+01,2.40E+01
13_Share1_Trim_Max_No_repair,100,9.89E-05,8.10E-06,1.00E-04,1.00E-04,,1.00E-04,,,,,,,1.20E+01,1.70E+01
13_Share1_Trim_Article_No_repair,100,1.03E-04,8.25E-06,1.00E-04,1.00E-04,,1.00E-04,,,,,,,1.20E+01,1.70E+01
13_Share1_No_trim_repair,10000,2.10E-03,3.73E-05,2.10E-03,2.10E-03,2.09E-03,2.09E-03,9.00E-07,7.73E-07,1.05E-06,1.05E-06,1.05E-06,1.05E-06,2.80E+01,1.12E+02
13_Share1_Trim_Max_repair,10000,2.08E-03,3.71E-05,2.10E-03,2.10E-03,,2.09E-03,1.20E-06,8.92E-07,1.05E-06,1.05E-06,,1.05E-06,2.10E+01,6.40E+01
13_Share1_Trim_Article_repair,10000,2.10E-03,3.73E-05,2.10E-03,2.10E-03,,2.09E-03,9.00E-07,7.73E-07,1.05E-06,1.05E-06,,1.05E-06,2.10E+01,6.40E+01
18_ESREL_2013_Event_trees_and_Petri_nets_No_trim_No_repair,100,5.00E-07,5.76E-07,9.95E-07,9.96E-07,,9.95E-07,,,,,,,6.50E+01,1.28E+02
18_ESREL_2013_Event_trees_and_Petri_nets_Trim_Max_No_repair,100,1.00E-06,8.15E-07,9.95E-07,9.96E-07,,9.95E-07,,,,,,,6.50E+01,1.28E+02
18_ESREL_2013_Event_trees_and_Petri_nets_Trim_Article_No_repair,100,4.70E-07,5.15E-07,9.95E-07,9.96E-07,,9.95E-07,,,,,,,6.50E+01,1.28E+02
21_Remote_Access_Server_Security_No_trim_No_repair,100,1.04E-04,8.29E-06,9.92E-05,9.92E-05,,9.92E-05,,,,,,,1.30E+01,2.20E+01
21_Remote_Access_Server_Security_Trim_Max_No_repair,100,9.74E-05,8.04E-06,9.92E-05,9.92E-05,,9.92E-05,,,,,,,8.00E+00,1.20E+01
21_Remote_Access_Server_Security_Trim_Article_No_repair,100,9.94E-05,8.12E-06,9.92E-05,9.92E-05,,9.92E-05,,,,,,,8.00E+00,1.20E+01
23_Two_proc_comp_sys_No_trim_No_repair,100,1.99E-02,1.14E-04,1.99E-02,1.99E-02,,1.99E-02,,,,,,,4.40E+03,2.14E+04
23_Two_proc_comp_sys_Trim_Max_No_repair,100,1.99E-02,1.14E-04,1.99E-02,1.99E-02,,1.99E-02,,,,,,,1.07E+03,2.44E+03
23_Two_proc_comp_sys_Trim_Article_No_repair,100,1.99E-02,1.14E-04,1.99E-02,1.99E-02,,1.99E-02,,,,,,,1.07E+03,2.69E+03
23_Two_proc_comp_sys_No_trim_repair,10000,8.65E-01,2.78E-04,8.67E-01,8.67E-01,8.65E-01,8.65E-01,2.00E-03,3.64E-05,2.00E-03,2.00E-03,2.00E-03,2.00E-03,6.91E+03,7.60E+04
23_Two_proc_comp_sys_Trim_Max_repair,10000,8.65E-01,2.78E-04,8.67E-01,8.67E-01,,8.65E-01,2.00E-03,3.64E-05,2.00E-03,2.00E-03,,2.00E-03,1.95E+03,1.15E+04
23_Two_proc_comp_sys_Trim_Article_repair,10000,8.65E-01,2.79E-04,8.67E-01,8.67E-01,,8.65E-01,1.99E-03,3.63E-05,2.00E-03,2.00E-03,,2.00E-03,1.95E+03,1.25E+04
01-High-rates_No_trim_No_repair,10,7.77E-01,3.39E-04,7.77E-01,7.77E-01,,7.77E-01,,,,,,,4.10E+01,6.40E+01
02-High-rates_No_trim_No_repair,10,1.76E-03,3.42E-05,1.76E-03,1.76E-03,,1.76E-03,,,,,,,3.30E+01,5.20E+01
03-High-rates_No_trim_No_repair,10,6.98E-01,3.74E-04,6.98E-01,6.98E-01,,6.98E-01,,,,,,,7.20E+01,1.80E+02
04-High-rates_No_trim_No_repair,10,9.05E-01,2.38E-04,9.05E-01,9.05E-01,,9.05E-01,,,,,,,7.58E+03,3.30E+04
